kello,onntyyppi,lkmpp,lkmjk,lkmmuukulk,lkmhapa,lkmlaka,lkmmo,lkmmp,x,vvonn,kkonn,vakav,y
22.00-22.59,2,0,0,0,3,0,0,1,384847.46,2019,8,1,6679933.63
18.00-18.59,8,0,0,0,1,0,0,0,384475.33,2019,10,2,6679844.18
13.00-13.59,7,0,1,0,1,0,0,0,384574,2019,7,2,6674666
14.00-14.59,0,0,0,0,1,0,1,0,384985.38,2019,10,2,6678724.9
04.00-04.59,1,0,0,0,2,0,0,0,384753.61,2019,7,2,6672892.9
08.00-08.59,0,0,0,0,1,1,0,0,384745.46,2019,10,2,6672963.37
13.00-13.59,6,0,1,0,1,0,0,0,384271.32,2019,1,2,6672980.58
12.00-12.59,4,1,0,0,1,0,0,0,384700.77,2019,4,3,6673350.4
17.00-17.59,6,0,1,0,0,1,0,0,384948.17,2019,5,2,6673388.8
05.00-05.59,6,0,1,0,0,1,0,0,384975.92,2019,6,2,6673535.13
12.00-12.59,7,0,1,0,0,1,0,0,384926.64,2019,12,2,6673625.03
20.00-20.59,4,1,0,0,1,0,0,0,384532.5,2019,3,2,6673710.89
02.00-02.59,9,0,0,0,4,0,0,0,384788.04,2019,8,2,6673641.67
00.00-00.59,1,0,0,0,2,0,0,0,384659.75,2019,2,2,6671918.78
19.00-19.59,2,0,0,0,3,0,0,0,384337.89,2019,3,2,6671550.3
04.00-04.59,4,0,0,0,2,0,0,0,384982.31,2019,10,2,6671437.57
19.00-19.59,0,0,0,0,1,1,0,0,384657.85,2019,6,2,6671875.03
08.00-08.59,6,0,1,0,0,1,0,0,384658.18,2019,12,2,6671925.06
21.00-21.59,5,0,0,1,1,0,0,0,384422.86,2019,1,2,6670277.38
12.00-12.59,0,0,0,0,1,0,0,1,384645.03,2019,8,2,6671587.8
08.00-08.59,9,0,0,1,1,0,0,0,384396.12,2019,11,2,6670235.09
17.00-17.59,7,0,1,0,0,1,0,0,384710.66,2019,5,2,6672320.79
09.00-09.59,0,0,0,0,3,0,0,0,383648.19,2019,12,2,6676769.89
18.00-18.59,7,0,1,0,1,0,0,0,383946.65,2019,5,2,6677336.01
19.00-19.59,1,1,0,0,0,1,0,0,383659.14,2019,6,2,6677635.16
15.00-15.59,6,0,2,0,1,0,0,0,383451.01,2019,11,2,6677735.39
17.00-17.59,1,1,0,0,0,1,0,0,383637.38,2019,9,2,6681739.85
14.00-14.59,2,0,0,0,2,0,0,0,383593.75,2019,12,2,6678343.71
20.00-20.59,4,1,0,0,1,0,0,0,383873.36,2019,7,2,6678532.1
16.00-16.59,9,0,1,0,1,0,0,0,383499.6,2019,11,2,6677737.09
11.00-11.59,0,0,0,0,1,1,0,0,383719.98,2019,5,2,6679483.88
17.00-17.59,5,1,0,0,1,0,0,0,383652.05,2019,6,2,6675137.75
07.00-07.59,0,0,0,0,2,0,0,0,383652.02,2019,12,2,6675139.1
08.00-08.59,3,1,0,0,1,0,0,0,383720.51,2019,5,2,6675246.23
09.00-09.59,4,0,0,0,2,0,0,0,383569.89,2019,7,2,6675894.74
17.00-17.59,0,0,0,0,3,0,0,0,383661.76,2019,1,2,6675343.12
13.00-13.59,0,0,0,0,3,0,0,0,383549.19,2019,7,2,6676177.11
00.00-00.59,6,0,1,0,1,0,0,0,383564.2,2019,2,2,6676212.65
11.00-11.59,9,0,1,0,1,0,0,0,383406.9,2019,9,2,6676266.03
03.00-03.59,2,0,0,0,5,0,0,0,383847.92,2019,2,2,6676626.17
08.00-08.59,0,0,0,0,2,0,0,0,383910.94,2019,12,2,6671419.51
